method                                 motion_mag                  sharpness                 subject_co                 background
B1_linear                   +1.49 [ -1.45, +4.73]      -1.71 [ -7.51, +4.59]      +0.10 [ -0.17, +0.41]      +0.03 [ -0.24, +0.40]
B1_ridge_dagger             -2.13 [ -4.02, +0.05]      -5.36 [ -8.87, -2.08]      -0.31 [ -0.66, +0.05]      -0.15 [ -0.38, +0.07]
B1_ridge_dagger2            -1.96 [ -3.88, +0.40]      -5.83 [ -9.12, -2.71]      -0.23 [ -0.59, +0.12]      -0.21 [ -0.46, +0.02]
B1_ridge_off                -1.03 [ -3.29, +1.55]      -3.64 [ -7.94, +0.68]      -0.25 [ -0.61, +0.13]      -0.19 [ -0.42, +0.02]
B1_ridge_off2x              -1.03 [ -2.84, +1.12]      -4.08 [ -8.18, -0.20]      -0.23 [ -0.57, +0.09]      -0.14 [ -0.31, +0.01]
B1_zero                     -1.32 [ -3.39, +0.91]      -4.99 [ -9.34, -0.95]      -0.23 [ -0.52, +0.11]      -0.14 [ -0.41, +0.14]
B2_damped0.5                -0.12 [ -2.03, +2.23]      -4.37 [ -8.44, -0.35]      -0.22 [ -0.66, +0.22]      -0.13 [ -0.40, +0.16]
B2_freqhi0.15               +0.78 [ -1.28, +3.02]      -1.64 [ -6.24, +3.06]      -0.39 [ -0.74, -0.04]      -0.23 [ -0.59, +0.08]
B2_freqlo0.15               -1.08 [ -4.07, +2.21]      -8.37 [-14.60, -2.62]      -0.45 [ -0.67, -0.21]      -0.12 [ -0.38, +0.16]
B2_linear                   +1.40 [ -1.89, +4.84]      -0.80 [ -6.78, +5.35]      -0.17 [ -0.60, +0.28]      -0.06 [ -0.38, +0.36]
B2_ridge_dagger             -3.26 [ -5.92, +0.04]      -5.16 [-11.02, +1.08]      -0.25 [ -0.68, +0.24]      -0.10 [ -0.38, +0.17]
B2_ridge_dagger2            -3.47 [ -5.93, -0.41]      -5.03 [-10.84, +1.19]      -0.21 [ -0.71, +0.33]      -0.13 [ -0.39, +0.14]
B2_ridge_off                +0.33 [ -3.88, +6.78]      +1.72 [ -8.16,+15.71]      -0.12 [ -0.41, +0.18]      -0.19 [ -0.48, +0.08]
B2_ridge_off2x              -0.57 [ -3.89, +4.23]      -0.15 [ -8.33,+10.14]      -0.30 [ -0.67, +0.07]      -0.15 [ -0.41, +0.10]
B2_zero                     -1.80 [ -3.57, +0.02]      -5.38 [-10.24, -0.45]      -0.39 [ -0.67, -0.08]      -0.17 [ -0.40, +0.04]
B3_damped0.5                -0.16 [ -4.08, +4.74]      -4.53 [-13.08, +4.10]      -1.14 [ -1.81, -0.53]      -0.32 [ -0.91, +0.19]
B3_freqhi0.15               +2.82 [ -1.72, +8.35]      +5.67 [ -3.83,+15.67]      -0.61 [ -1.09, -0.18]      -0.36 [ -0.93, +0.13]
B3_freqlo0.15               -2.11 [ -7.78, +4.59]      -9.01 [-19.65, +0.79]      -0.61 [ -1.25, -0.04]      -0.31 [ -0.94, +0.23]
B3_linear                   +1.95 [ -4.17, +9.51]      +8.09 [ -4.73,+20.61]      -1.15 [ -2.20, -0.31]      -0.31 [ -0.75, +0.06]
B3_ridge_dagger             -6.58 [-11.00, -1.31]     -11.07 [-18.92, -3.75]      -0.81 [ -1.35, -0.33]      -0.49 [ -1.21, +0.19]
B3_ridge_dagger2            -3.70 [ -9.82, +5.05]      -5.48 [-19.13,+12.44]      -0.82 [ -1.48, -0.24]      -0.26 [ -0.81, +0.31]
B3_ridge_off                +4.12 [ -7.49,+23.17]     +15.58 [-16.23,+70.38]      -1.28 [ -2.66, -0.26]      -0.37 [ -0.95, +0.15]
B3_ridge_off2x              -0.16 [ -7.60,+10.61]      +0.50 [-15.95,+24.17]      -0.61 [ -1.13, -0.15]      -0.41 [ -0.92, +0.05]
B3_zero                     -1.94 [ -6.13, +3.13]      -9.94 [-17.49, -2.79]      -0.73 [ -1.17, -0.33]      -0.22 [ -0.78, +0.38]
full_perturb1e-2            +0.77 [ +0.09, +1.63]      -0.72 [ -3.36, +1.56]      -0.06 [ -0.52, +0.31]      -0.02 [ -0.11, +0.07]
full_perturb1e-3            +0.01 [ -0.17, +0.17]      +0.57 [ -0.06, +1.59]      +0.02 [ -0.13, +0.17]      -0.00 [ -0.09, +0.07]
steps18                     -8.97 [-35.54,+26.85]     -35.86 [-56.82,-10.57]      -1.03 [ -3.90, +1.71]      +0.20 [ -0.80, +1.11]
steps21                     -7.44 [-27.39,+14.75]     -28.98 [-46.91, -9.51]      -0.48 [ -2.19, +1.20]      +0.16 [ -0.25, +0.64]
steps26                     -6.96 [-17.37, +3.08]     -10.19 [-19.82, -0.12]      -0.90 [ -1.64, -0.28]      -0.11 [ -0.42, +0.12]
units: motion/sharpness = % vs full; subject/background = x100 absolute delta vs full
