method                         n    sec   spd calls  lat_mse   psnr   clip  dclip
B1_linear                      6  18.92  1.15   768   0.0811   0.00   0.00   0.00
B1_zero                        6  18.90  1.15   768   0.0558   0.00   0.00   0.00
B2_linear                      5  15.98  1.35   636   0.0839   0.00   0.00   0.00
B2_zero                        5  15.86  1.36   636   0.0501   0.00   0.00   0.00
B3_linear                      5  14.04  1.54   540   0.1966   0.00   0.00   0.00
B3_zero                        5  14.01  1.54   540   0.0968   0.00   0.00   0.00
full                           6  21.71  1.00   900   0.0000   0.00   0.00   0.00
full_perturb1e-2               6  21.60  1.00   900   0.0193   0.00   0.00   0.00
full_perturb1e-3               6  21.57  1.01   900   0.0024   0.00   0.00   0.00
steps18                        5  12.95  1.66   540   0.4036   0.00   0.00   0.00
steps21                        5  15.05  1.43   630   0.3075   0.00   0.00   0.00
steps26                        6  18.72  1.16   780   0.1283   0.00   0.00   0.00
