load Latte-XL/2 /root/viewdit/weights/Latte/ffs.pt steps 50 ddim
Using Ema!
/root/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/root/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=AlexNet_Weights.IMAGENET1K_V1`. You can also use `weights=AlexNet_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
seed 0 B1_T1@10 relL2=0.1128 lpips=0.0091 ffe=10.00
seed 0 C_p1.0_w0.25@10 relL2=0.1012 lpips=0.0062 ffe=10.00
seed 0 C_p1.0_w0.5@10 relL2=0.1143 lpips=0.0147 ffe=10.00
seed 0 C_p1.0_w0.75@10 relL2=0.1593 lpips=0.0445 ffe=10.00
seed 0 C_p1.25_w0.25@10 relL2=0.1214 lpips=0.0090 ffe=10.00
seed 0 C_p1.25_w0.5@10 relL2=0.1458 lpips=0.0290 ffe=10.00
seed 0 C_p1.25_w0.75@10 relL2=0.2305 lpips=0.0864 ffe=10.00
seed 0 C_T1+SC1.25@10 relL2=0.1478 lpips=0.0110 ffe=10.00
seed 0 B1_T1@15 relL2=0.0748 lpips=0.0036 ffe=15.00
seed 0 C_p1.0_w0.25@15 relL2=0.0678 lpips=0.0023 ffe=15.00
seed 0 C_p1.0_w0.5@15 relL2=0.0680 lpips=0.0035 ffe=15.00
seed 0 C_p1.0_w0.75@15 relL2=0.0734 lpips=0.0076 ffe=15.00
seed 0 C_p1.25_w0.25@15 relL2=0.0683 lpips=0.0024 ffe=15.00
seed 0 C_p1.25_w0.5@15 relL2=0.0687 lpips=0.0039 ffe=15.00
seed 0 C_p1.25_w0.75@15 relL2=0.0754 lpips=0.0085 ffe=15.00
seed 0 C_T1+SC1.25@15 relL2=0.0766 lpips=0.0037 ffe=15.00
seed 0 B1_T1@20 relL2=0.0283 lpips=0.0009 ffe=20.00
seed 0 C_p1.0_w0.25@20 relL2=0.0199 lpips=0.0004 ffe=20.00
seed 0 C_p1.0_w0.5@20 relL2=0.0211 lpips=0.0010 ffe=20.00
seed 0 C_p1.0_w0.75@20 relL2=0.0308 lpips=0.0027 ffe=20.00
seed 0 C_p1.25_w0.25@20 relL2=0.0294 lpips=0.0006 ffe=20.00
seed 0 C_p1.25_w0.5@20 relL2=0.0267 lpips=0.0010 ffe=20.00
seed 0 C_p1.25_w0.75@20 relL2=0.0329 lpips=0.0027 ffe=20.00
seed 0 C_T1+SC1.25@20 relL2=0.0396 lpips=0.0013 ffe=20.00
seed 1 B1_T1@10 relL2=0.2584 lpips=0.0230 ffe=10.00
seed 1 C_p1.0_w0.25@10 relL2=0.2523 lpips=0.0200 ffe=10.00
seed 1 C_p1.0_w0.5@10 relL2=0.2801 lpips=0.0330 ffe=10.00
seed 1 C_p1.0_w0.75@10 relL2=0.3097 lpips=0.0634 ffe=10.00
seed 1 C_p1.25_w0.25@10 relL2=0.2603 lpips=0.0223 ffe=10.00
